year,date,open_asian,high_asian,low_asian,close_asian,n_asian,range_pips_asian,net_pips_asian,open_post,high_post,low_post,close_post,n_post,range_pips_post,net_pips_post,gap_pips,continuation
2016,2016-12-28,117.479,117.74,117.366,117.622,540.0,37.39999999999952,14.300000000000068,117.63,117.811,116.843,117.082,900.0,96.80000000000035,-54.80000000000018,0.7999999999995566,False
2016,2016-12-29,117.084,117.088,116.229,116.51,540.0,85.89999999999947,-57.39999999999981,116.511,116.872,116.04,116.306,898.0,83.19999999999936,-20.49999999999983,0.0999999999990564,True
2016,2016-12-30,116.326,117.121,116.113,117.081,540.0,100.79999999999956,75.50000000000097,117.081,117.194,116.423,117.004,778.0,77.10000000000008,-7.699999999999818,0.0,False
2022,2022-01-03,115.14,115.361,115.121,115.259,530.0,24.00000000000091,11.899999999999977,115.26,115.366,114.946,115.33,892.0,42.00000000000017,6.999999999999318,0.10000000000047748,True
2022,2022-01-04,115.33,115.853,115.289,115.842,540.0,56.399999999999295,51.200000000000045,115.843,116.352,115.791,116.172,894.0,56.100000000000705,32.89999999999935,0.10000000000047748,True
2022,2022-01-05,116.174,116.241,115.864,115.918,540.0,37.699999999999534,-25.600000000000023,115.918,116.182,115.619,116.124,890.0,56.30000000000024,20.599999999998886,0.0,False
2022,2022-01-06,116.124,116.183,115.67,115.789,540.0,51.30000000000052,-33.499999999999375,115.789,115.952,115.624,115.864,896.0,32.800000000000296,7.500000000000284,0.0,False
2022,2022-01-07,115.864,116.046,115.751,115.785,538.0,29.50000000000017,-7.900000000000773,115.786,115.927,115.507,115.529,779.0,42.00000000000017,-25.7000000000005,0.10000000000047748,True
2022,2022-01-10,115.621,115.849,115.544,115.65,533.0,30.500000000000682,2.9000000000010573,115.649,115.685,115.041,115.277,890.0,64.40000000000055,-37.19999999999999,-0.10000000000047748,False
2022,2022-01-11,115.279,115.386,115.124,115.314,540.0,26.200000000000045,3.499999999999659,115.314,115.679,115.268,115.333,892.0,41.100000000000136,1.9000000000005457,0.0,True
2022,2022-01-12,115.332,115.448,115.23,115.354,540.0,21.79999999999893,2.200000000000557,115.355,115.471,114.379,114.672,893.0,109.19999999999987,-68.3000000000007,0.10000000000047748,False
2022,2022-01-13,114.675,114.699,114.36,114.489,539.0,33.899999999999864,-18.599999999999284,114.489,114.594,113.998,114.114,896.0,59.59999999999894,-37.5,0.0,True
2022,2022-01-14,114.116,114.175,113.636,113.839,540.0,53.90000000000015,-27.700000000000102,113.841,114.265,113.48,114.187,780.0,78.49999999999966,34.600000000000364,0.19999999999953388,False
